E,software engineering,languages,Python,
E,data science,libraries,numpy,
E,data science,libraries,scikit-learn,
E,data science,libraries,tensorflow,
E,data science,libraries,pytorch,
E,software engineering,languages,SQL,
A,information technology,infrastruture-as-a-service,Amazon AWS,
A,software engineering,software development,version control,git
E,software engineering,languages,Bash,
E,data science,libraries,jupyter,
E,software engineering,algorithms,design,
E,data science,machine learning,,
E,data science,deep learning,,
A,mathematics,algebra,,
A,mathematics,calculus,,
E,data science,machine learning,feature engineering,
