A,software engineering,languages,Python,
A,data science,libraries,numpy,
A,data science,libraries,scikit-learn,
E,data science,libraries,tensorflow,
E,data science,libraries,pytorch,
E,software engineering,languages,SQL,
A,information technology,infrastruture-as-a-service,Amazon AWS,
A,software engineering,software development,version control,git
A,software engineering,languages,Bash,
E,data science,libraries,jupyter,
E,software engineering,algorithms,design,
E,data science,machine learning,,
E,data science,deep learning,,
E,mathematics,algebra,,
E,mathematics,calculus,,
A,data science,machine learning,feature engineering,
A,software engineering,,,
